##	NA
1	P48742
ATP5G3	P48201
ATP5H	O75947
ATP5I	P56385
ATP5J	P18859
ATP5O	P48047
ATP6AP1	Q15904
ATP6AP1L	Q52LC2
ATP6AP2	O75787
ATP6B1	P15313
ATP6C	P27449
ATP6V0A1	Q93050
ATP6V0A2	Q9Y487
ATP6V0A4	Q9HBG4
ATP6V0D1	P61421
ATP6V0D2	Q8N8Y2
ATP6V1A	P38606
ATP6V1C1	P21283
ATP6V1C2	Q8NEY4
ATP6V1D	Q9Y5K8
ATP6V1E1	P36543
ATP6V1E2	Q96A05
ATP6V1H	Q9UI12
ATP7A	Q04656
ATP7B	P35670
ATP8	P03928
ATP8A1	Q9Y2Q0
ATP8A2	Q9NTI2
ATP8B1	O43520
ATP8B2	P98198
ATP8B4	Q8TF62
ATP9A	O75110
ATP9B	O43861
ATPAF1	Q6PEX7
ATPAF2	Q8N5M1
ATPBD4	Q7L8W6
ATPIF1	Q9UII2
ATR	P20848
ATRIP	Q8WXE1
ATRN	O75882
ATRNL1	Q5VV63
ATRX	P46100
ATXN1	P54253
ATXN10	Q9UBB4
ATXN1L	P0C7T5
ATXN3	P54252
ATXN3L	Q9H3M9
ATXN7	O15265
ATXN7L1	Q9ULK2
ATXN7L2	Q5T6C5
AUP1	Q9Y679
AURA17	A2VED2
AURKA	O14965
AURKC	Q9UQB9
AUTS2	Q8WXX7
AVEN	Q9NQS1
AVIL	O75366
AVL9	Q8NBF6
AVPR1	P37288
AVPR1B	P47901
AVPR2	P30518
AX2R	Q3ZCQ2
AXIN1	O15169
AXIN2	Q9Y2T1
AXL	P30530
AZGP1	P25311
AZI1	Q9UPN4
AZI2	Q9H6S1
B*15	Q5TBC7
B-1510	Q29653
B2M	P61769
B-3501	O19626
B3GALT1	Q9Y5Z6
B3GNT1	O43505
B4GALNT2	Q8NHY0
B4GALNT3	Q6L9W6
B4GALNT4	Q76KP1
B4GALT1	P15291
B4GALT3	O60512
B4GALT4	O60513
B4GALT5	O43286
B4GALT6	Q9UBX8
B6	Q16124
BACE	P56817
BACE2	Q9Y5Z0
BACH1	Q9BX63
BACH2	Q9BYV9
BAD	Q92934
BAG1	Q99933
BAG2	O95816
BAG3	O95817
BAG4	O95429
BAG5	Q9UL15
BAHCC1	Q9P281
BAHD1	Q8TBE0
BAI1	O14514
BAI2	O60241
BAI3	O60242
BAIAP2	Q9UQB8
BAIAP2L1	Q9UHR4
BAIAP2L2	Q6UXY1
BAIAP3	O94812
BAK	Q16611
BAMBI	Q13145
BANF1	O75531
BANK1	Q8NDB2
BARD1	Q99728
BARHL1	Q9BZE3
BARX1	Q9HBU1
BARX2	Q9UMQ3
BASH	Q8WV28
BASP1	P80723
BAT1	Q13838
BAT2	P48634
BAT2L	Q5JSZ5
BATF	Q16520
BATF2	Q8N1L9
BATF3	Q9NR55
BAZ1A	Q9NRL2
BAZ1B	Q9UIG0
BAZ2B	Q9UIF8
BBS2	Q9BXC9
BBS4	Q96RK4
BBS7	Q8IWZ6
BBS8	Q8TAM2
BBS9	Q3SYG4
BBX	Q8WY36
BCAM	P50895
BCAN	Q96GW7
Bcar1	P56945
BCAR1	P56945
BCAR2	Q96PN7
BCAR3	O75815
BCAS1	O75363
BCAS2	O75934
BCAS3	Q9H6U6
BCCIP	Q9P287
BCHE	P06276
BCKDHA	P12694
BCKDHB	P21953
BCL10	O95999
BCL11A	Q9H165
BCL11B	Q9C0K0
BCL2	P10415
BCL2L1	Q07817
BCL2L11	O43521
BCL2L12	Q9HB09
BCL2L13	Q9BXK5
BCL2L14	Q9BZR8
BCL2L2	Q92843
BCL3	P20749
BCL6	P41182
BCL6B	Q8N143
BCL7B	Q9BQE9
BCL7C	Q8WUZ0
BCL8	P0C6P0
BCL9	O00512
BCL9L	Q86UU0
BCMA	Q02223
BCOR	Q6W2J9
BCORL1	Q5H9F3
BCR	P11274
BCS1L	Q9Y276
BDH1	Q02338
BDKRB1	P46663
BDKRB2	P30411
BDP1	A6H8Y1
BECN1	Q14457
BEGAIN	Q9BUH8
BEK	P21802
BEND2	Q8NDZ0
BEND3	Q5T5X7
BEND7	Q8N7W2
BET1	O15155
BET1L	Q9NYM9
BFSP1	Q12934
BGN	P21810
BGP	P13688
BHLHA15	Q7RTS1
BHLHB2	O14503
BHLHB3	Q9C0J9
BHLHB9	Q6PI77
BHLHE22	Q8NFJ8
BHMT	Q93088
BHMT2	Q9H2M3
BICC1	Q9H694
BICD1	Q96G01
BICD2	Q8TD16
BID	P55957
BIK	Q13323
BIN1	O00499
BIN2	Q9UBW5
BIN3	Q9NQY0
BIRC2	Q13490
BIRC3	Q13489
BIRC5	O15392
BIRC6	Q9NR09
BIRC7	Q96CA5
BIRC8	Q96P09
BIVM	Q86UB2
BLK	P51451
BLM	P54132
BLMH	Q13867
BLOC1S2	Q6QNY1
BLOC1S3	Q6QNY0
BLR1	P32302
BLVRA	P53004
BLVRB	P30043
BLZF1	Q9H2G9
BMCC1	Q8WUY3
BMF	Q96LC9
BMP1	P13497
BMP15	O95972
BMP2	P12643
BMP2K	Q9NSY1
BMP4	P12644
BMP5	P22003
BMP7	P18075
BMPER	Q8N8U9
BMPR1A	P36894
BMPR1B	O00238
BMPR2	Q13873
BMS1	Q14692
BMX	P51813
BNC1	Q01954
BNC2	Q6ZN30
BNIP2	Q12982
BNIP3	Q12983
BNIP3L	O60238
BOC	Q9BWV1
BOD1L	Q8NFC6
BOK	Q9UMX3
BOLA1	Q9Y3E2
BORA	Q6PGQ7
BPAG1	Q03001
BPGM	P07738
BPI	P17213
BPIL1	Q8N4F0
BPIL2	Q8NFQ6
BPIL3	Q8NFQ5
BPNT1	O95861
BPTF	Q12830
BPTP-2	Q16343
BPTP-3	Q16344
BRAF	P15056
BRAG1	C7SDG0
BRAP	Q6UWU4
BRCA1	P38398
BRCA2	P51587
BRCC3	P46736
BRD1	O95696
BRD2	P25440
BRD3	Q15059
BRD7	Q9NPI1
BRD8	Q9H0E9
BRDG1	Q9ULZ2
BRDT	Q58F21
BRE	Q9NXR7
BRF2	Q9HAW0
BRI3	Q9NQX7
BRIP1	Q9P0J6
BRMS1	Q9HCU9
BRMS1L	Q5PSV4
BROX	Q5VW32
BRP16	NA
BRPF1	P55201
BRPF3	Q9ULD4
BRSK1	Q8TDC3
BRSK2	Q8IWQ3
BRUNOL4	Q9BZC1
BRUNOL5	Q8N6W0
BRUNOL6	Q96J87
BRWD1	Q9NSI6
BRWD2	Q9BZH6
BRWD3	Q6RI45
BSG	P35613
BSN	Q9UPA5
BSND	Q8WZ55
BST2	Q10589
BTAF1	O14981
BTBD1	Q9H0C5
BTBD10	Q9BSF8
BTBD11	A6QL63
BTBD12	Q8IY92
BTBD16	Q32M84
BTBD3	Q9Y2F9
BTBD7	Q9P203
BTBD9	Q96Q07
BTD	P43251
BTF3	P20290
BTF3L4	Q96K17
BTG1	P62324
BTG2	P78543
BTG3	Q14201
BTG4	Q9NY30
BTK	Q06187
BTLA	Q7Z6A9
BTN1A1	Q13410
BTN2A1	Q7KYR7
BTRC	Q9Y297
BUB1	O43683
BUB3	O43684
BUD13	Q9BRD0
BVES	Q8NE79
BXDC1	Q9H7B2
BXDC2	Q8TDN6
BXDC5	Q9H9Y2
BZRAP1	O95153
C10orf104	Q96DE5
C10orf107	Q8IVU9
C10orf118	Q7Z3E2
C10orf119	Q9BTE3
C10orf12	Q96JN0
C10orf18	Q5VWN6
C10orf2	Q96RR1
C10orf28	Q7Z5L2
C10orf32	Q96B45
C10orf35	Q96D05
C10orf38	Q5VUB5
C10orf4	Q70Z53
C10orf40	A4QN01
C10orf42	Q8NE86
